"순서","시설ID","컨텐츠 명","사용유무","테마 타입","x 좌표","y 좌표","좌표 배열","좌표타입","메인 이미지","새 주소","구 주소","우편번호","국가 지점 번호","테마 명","거리","업데이트 일","등록일","이미지 URL1","이미지 URL2","이미지 URL3","이미지 URL4","이미지 URL5","동영상 URL","음성파일 URL","평가 점수","평가자 인원","상세정보 이름 1","상세정보 값 1","상세정보 이름 2","상세정보 값 2","상세정보 이름 3","상세정보 값 3","상세정보 이름 4","상세정보 값 4","상세정보 이름 5","상세정보 값 5","상세정보 이름 6","상세정보 값 6","상세정보 이름 7","상세정보 값 7","상세정보 이름 8","상세정보 값 8","상세정보 이름 9","상세정보 값 9","상세정보 이름 10","상세정보 값 10"
"11","강남구_거치대_008","강남구청역 3-1번출구","사용","일반","127.041060171","37.517489935","[127.04106017131814,37.517489934541636]","Point","","서울특별시 강남구 학동로 343","서울특별시 강남구 논현동 279-92","06060","다사59444656","(친환경)자전거 편의시설","8112.642965","2024-04-26 10:14:55","2024-04-26 10:14:55","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"12","강남구_거치대_010","강남구청역 4번출구","사용","일반","127.041661673","37.517434809","[127.04166167273183,37.51743480876404]","Point","","서울특별시 강남구 학동로 401","서울특별시 강남구 청담동 77-76","06069","다사59494655","(친환경)자전거 편의시설","8165.074625","2024-04-26 10:17:37","2024-04-26 10:17:37","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"13","강남구_거치대_301","강남대로 292 자전거 겸용 보관대","사용","일반","127.032013870","37.489483036","[127.03201386972684,37.48948303632128]","Point","","서울특별시 강남구 강남대로 292","서울특별시 강남구 도곡동 943","06258","다사58624346","(친환경)자전거 편의시설","9413.080458","2025-11-12 19:45:35","2025-11-12 19:45:35","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","1/5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","",""
"14","강남구_거치대_302","강남대로 320 자전거 겸용 보관대","사용","일반","127.030951831","37.491767153","[127.03095183133476,37.49176715277681]","Point","","서울특별시 강남구 강남대로 320","서울특별시 강남구 역삼동 832-8","06252","다사58534371","(친환경)자전거 편의시설","9167.391981","2025-11-12 19:57:33","2025-11-12 19:57:33","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예, OO동 주민센터)","강남대로 320","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","1/5대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","",""
"15","강남구_거치대_011","강남대로 488","사용","일반","127.024165775","37.505836139","[127.024165774998,37.505836138991896]","Point","","서울특별시 강남구 강남대로 488","서울특별시 강남구 논현동 199","06120","다사57944528","(친환경)자전거 편의시설","7647.132772","2024-04-26 10:33:29","2024-04-26 10:33:29","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"16","강남구_거치대_012","강남대로 526","사용","일반","127.022611996","37.509086023","[127.02261199641234,37.50908602318985]","Point","","서울특별시 강남구 강남대로 526","서울특별시 강남구 논현동 280","06114","다사57804564","(친환경)자전거 편의시설","7299.369883","2024-04-26 10:34:39","2024-04-26 10:34:39","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"17","강남구_거치대_013","강남세브란스병원 앞","사용","일반","127.046636488","37.493344923","[127.04663648837544,37.4933449233178]","Point","","서울특별시 강남구 언주로 211","서울특별시 강남구 도곡동 146-92","06273","다사59924388","(친환경)자전거 편의시설","10094.026265","2024-04-26 10:38:19","2024-04-26 10:38:19","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|병원|병원|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"18","강남구_거치대_014","강남스퀘어","사용","일반","127.028014683","37.498544945","[127.02801468295719,37.49854494466991]","Point","","서울특별시 강남구 테헤란로 101","서울특별시 강남구 역삼동 821-2","06134","다사58284446","(친환경)자전거 편의시설","8454.000140","2024-04-26 10:39:56","2024-04-26 10:39:56","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"19","강남구_거치대_016","강남스포츠문화센터","사용","일반","127.105318105","37.489324775","[127.10531810501354,37.489324774985356]","Point","","서울특별시 강남구 밤고개로1길 52","서울특별시 강남구 수서동 718","06349","다사65104341","(친환경)자전거 편의시설","15053.640708","2024-04-26 10:42:35","2024-04-26 10:42:35","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|문화센터|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"20","강남구_거치대_015","강남스포츠문화센터 앞","사용","일반","127.105082236","37.489274412","[127.10508223618339,37.48927441182831]","Point","","서울특별시 강남구 밤고개로1길 52","서울특별시 강남구 수서동 718","06349","다사65084340","(친환경)자전거 편의시설","15035.685881","2024-04-26 10:42:06","2024-04-26 10:42:06","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|문화센터|문화센터|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"21","강남구_거치대_017","강남역 1 2번출구 사이","사용","일반","127.028404345","37.497747672","[127.02840434460293,37.49774767150022]","Point","","서울특별시 강남구 강남대로 390","서울특별시 강남구 역삼동 825-15","06232","다사58314438","(친환경)자전거 편의시설","8540.470071","2024-04-26 10:43:46","2024-04-26 10:43:46","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"22","강남구_거치대_018","강남역 4번출구","사용","일반","127.029151949","37.495345151","[127.02915194889957,37.495345151168685]","Point","","서울특별시 강남구 강남대로 362-2","서울특별시 강남구 역삼동 858","06241","다사58374411","(친환경)자전거 편의시설","8774.774379","2024-04-26 10:46:17","2024-04-26 10:46:17","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"23","강남구_거치대_019","강남우체국 앞","사용","일반","127.078120396","37.493328599","[127.07812039572508,37.493328599462785]","Point","","서울특별시 강남구 개포로 619","서울특별시 강남구 일원동 700-5","06336","다사62704386","(친환경)자전거 편의시설","12534.944506","2024-04-26 10:47:35","2024-04-26 10:47:35","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"24","강남구_거치대_020","강남운전면허시험장","사용","일반","127.067784613","37.508134381","[127.06778461307907,37.50813438091044]","Point","","서울특별시 강남구 테헤란로114길 23","서울특별시 강남구 대치동 78-25","06175","다사61804551","(친환경)자전거 편의시설","10864.357146","2024-04-26 10:49:42","2024-04-26 10:49:42","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|운전면허시험장|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"25","강남구_거치대_021","강남중고차매매단지","사용","일반","127.118255068","37.469495577","[127.11825506820763,37.46949557677096]","Point","","","서울특별시 강남구 율현동 108-9","","다사66244121","(친환경)자전거 편의시설","17195.625292","2024-04-26 10:51:55","2024-04-26 10:51:55","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"26","강남구_거치대_022","강남푸르지오시티 1차 앞","사용","일반","127.103966971","37.475008850","[127.1039669713804,37.47500885043807]","Point","","서울특별시 강남구 자곡로 191","서울특별시 강남구 자곡동 600","06372","다사64984182","(친환경)자전거 편의시설","15702.670827","2024-04-26 10:53:42","2024-04-26 10:53:42","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"27","11103419_1740730605325","강동구 자전거 종합지원센터","사용","일반","127.156973348","37.561039274","[127.15697334777686,37.56103927373345]","Point","","서울특별시 강동구 동남로83길 2","서울특별시 강동구 고덕동 302-3","05226","다사69705135","(친환경)자전거 편의시설","18230.488958","2025-02-28 17:17:05","2025-02-28 17:17:05","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","운영시간_화요일~일요일(09:00~18:00) 월요일 휴무","설치지역","지하철역|","상세위치(예, OO동 주민센터)","광문고교 사거리 인근","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","상설|","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","공임비 무상, 부품교체 실비","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","매월 이동수리 일정표(강동구 홈페이지 참조)","유의사항(예, O0학교 운영시간 외 이용불가 )","매주 월요일 휴무, 공휴일 휴무","관리부서(강동구청 교통행정과 자전거교통팀)","관리부서(강동구청 교통행정과 자전거교통팀)"
"30","강남구_거치대_024","개나리SK뷰5차아파트상가","사용","일반","127.050693755","37.500601724","[127.05069375460754,37.50060172373921]","Point","","서울특별시 강남구 역삼로 315","서울특별시 강남구 역삼동 806","06213","다사60284468","(친환경)자전거 편의시설","9906.661468","2024-04-26 10:59:21","2024-04-26 10:59:21","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|아파트|아파트|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
"31","구로구_자전거주차장_002","개봉역 자전거주차장","사용","일반","126.859376898","37.495407277","[126.85937689820355,37.49540727677393]","Point","","서울특별시 구로구 경인로40길 25","서울특별시 구로구 개봉동 175-8","08276","다사43374420","(친환경)자전거 편의시설","13425.284583","2022-03-14 15:48:53","2022-03-14 15:48:53","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","상시","설치지역","지하철역|","상세위치(예, OO동 주민센터)","개봉역 2번 출구 앞","설치유형(*공기주입기와 주차장 만 선택하세요.)","수동식|","설치/이용가능대수(예, 00대)","125대","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","구로구 교통행정과","구로구 교통행정과"
"32","강남구_거치대_025","개원중학교 앞","사용","일반","127.072174064","37.491885318","[127.0721740638358,37.49188531766547]","Point","","서울특별시 강남구 영동대로 101","서울특별시 강남구 개포동 184-2","06328","다사62184371","(친환경)자전거 편의시설","12134.394168","2024-04-26 11:01:38","2024-04-26 11:01:38","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","학교|","상세위치(예, OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예, 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예, O0학교 운영시간 외 이용불가 )","","강남구청 교통행정과","강남구청 교통행정과"
